Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2153,"37,898","37,898","76,577","58,786",0.79,"30,100","80,617","68,928",0.26,9811,-782,-723,"37,898","79,487","61,480","37,898","2,835","1,042",0.08,"3,215","126,469","35,200",0.08,"3,010","93,042","13,532",0.77,"29,256","24,317","15,788","40,964","194,304","89,562"
2154,"25,305","25,305","81,122","56,281",0.76,"19,182","83,291","66,750",0.27,6768,-547,-376,"25,305","84,336","59,000","25,305","3,130",920,0.09,"2,224","141,800","31,920",0.08,"2,011","115,037","11,846",0.75,"19,038","27,842","15,725","26,832","230,238","89,412"
2155,"45,428","45,428","79,923","63,808",0.85,"38,640","82,134","71,000",0.24,10900,"-2,750","-2,105","45,428","82,903","66,597","45,428","2,927","1,266",0.09,"3,997","168,793","31,950",0.08,"3,703","149,378","12,504",0.81,"36,907","24,074","16,202","46,976","146,000","71,062"
2156,"8,738","8,738","104,899","57,703",0.72,"6,260","82,669","61,897",0.24,2123,"3,638","1,452","8,738","108,711","60,764","8,738","3,691",696,0.08,718,"136,673","40,954",0.08,691,"92,095","16,546",0.75,"6,584","42,171","17,038","9,270","338,866","119,967"
2157,"2,571","2,571","76,248","51,314",0.75,"1,929","71,294","54,346",0.21,528,"4,424","2,497","2,571","78,983","53,463","2,571","2,597",544,0.11,284,"86,652","45,730",0.11,277,"55,911","22,510",0.77,"1,989","24,508","11,962","2,762","205,837","78,895"
2158,"5,589","5,589","104,796","57,815",0.73,"4,063","81,600","61,174",0.26,1455,"3,707","1,110","5,589","108,749","60,594","5,589","3,857",798,0.09,506,"176,847","36,536",0.08,471,"148,457","12,732",0.76,"4,263","41,729","15,628","5,938","313,418","91,491"
2159,"3,288","3,288","90,933","52,776",0.71,"2,342","77,810","58,927",0.22,723,"5,984","3,041","3,288","94,750","55,636","3,288","3,514",666,0.11,355,"100,136","48,087",0.1,328,"64,619","19,572",0.75,"2,451","34,416","14,260","3,515","290,190","106,620"
2160,"20,260","20,260","52,659","43,922",0.77,"15,593","55,561","50,000",0.14,2902,"2,493","1,110","20,260","54,636","45,354","20,260","1,933",622,0.15,"3,024","71,386","34,233",0.14,"2,805","51,460","14,583",0.75,"15,231","12,481","7,784","20,778","77,639","22,143"
2161,"15,556","15,556","50,286","41,882",0.76,"11,765","53,617","48,314",0.13,1953,"1,584",661,"15,556","52,171","43,510","15,556","1,852",496,0.15,"2,359","66,365","36,907",0.14,"2,211","45,295","15,871",0.73,"11,419","11,693","7,323","15,631","70,093","20,027"
2162,"9,401","9,401","50,173","41,366",0.75,"7,059","54,170","49,175",0.15,1416,"1,804",956,"9,401","51,996","42,934","9,401","1,780",499,0.12,"1,152","67,385","37,033",0.11,"1,073","45,085","15,712",0.71,"6,719","12,227","7,907","9,597","90,385","28,685"
